"country","avg_schooling","avg_life_exp","avg_gdp","avg_cardio_deaths","avg_malaria_deaths"
"China",11.3,74.14,2443.709239,3533111.73333333,30.6666666666667
"India",10.4090909090909,66,900.0099097,1912090.27272727,59344.9090909091
"Indonesia",11.5266666666667,67.4533333333333,1557.98011128,484071.666666667,2597.86666666667
"Ukraine",14.56,69.8466666666667,1540.80203946667,444461.666666667,0
"Germany",16.5666666666667,81.1866666666667,23215.140268,330107.4,0
"Brazil",14.0933333333333,73.2733333333333,5968.88843306667,325061.466666667,672.266666666667
"Pakistan",6.93333333333333,64.7166666666667,678.42911945,276374.583333333,5094.66666666667
"Bangladesh",8.86666666666667,69.9666666666667,573.581681391667,230262.75,5092.33333333333
"Italy",15.9066666666667,82.1533333333333,22627.1580253333,214232.266666667,0
"Poland",15.1733333333333,75.5266666666667,6407.66866713333,164418.866666667,0
"France",15.8733333333333,82.2066666666667,25794.8033993333,151713.266666667,0
"Romania",13.8733333333333,73.9866666666667,3945.6168184,147663.066666667,0
"Philippines",11.5333333333333,67.5133333333333,1298.38928913333,144455.933333333,288.466666666667
"Turkey",12.5533333333333,73.7866666666667,4117.5438572,139133.4,3.33333333333333
"Nigeria",9.41,52.84,1675.52308158,138972.5,253261.4
"Spain",16.2666666666667,82.02,16520.7673426667,122984,0
"Myanmar",8.45,64.4333333333333,682.372452166667,120986.416666667,8695.58333333333
"Mexico",12.26,75.6533333333333,4915.0776276,110196.466666667,4
"Uzbekistan",11.7615384615385,68.0461538461538,558.841911915385,102498.538461538,2
"Argentina",16.6307692307692,75.2384615384615,6932.54688153846,91607,2.69230769230769
"Morocco",10.1666666666667,72.0133333333333,1875.665163,87882,0
"Thailand",12.48,72.96,3340.10960613333,86205.6666666667,148.933333333333
"South Africa",12.8866666666667,57.14,4809.40400793333,81727.2,84.7333333333333
"Belarus",14.6933333333333,69.7466666666667,3669.0192532,81245.4666666667,0
"Bulgaria",13.64,72.74,4802.01545213333,81036.2,0
"Kazakhstan",13.96,66.4133333333333,4299.293662,78541.2666666667,0
"Algeria",13.1636363636364,74.2090909090909,3261.28937436364,73752.0909090909,0
"Canada",15.85,82.2333333333333,29568.9307816667,69895.5833333333,0
"Serbia",13.3833333333333,73.5833333333333,3823.394818,67208.8333333333,0
"Ethiopia",8.0375,62.7375,342.07442535,63078.125,18490.375
"Afghanistan",7.1,56.9,180.71474926,54240.2,1360.6
"Colombia",11.42,71.98,1948.8574306,51962.8,878.4
"Kenya",10.1230769230769,57.8846153846154,771.737967053846,29759.6923076923,7841.15384615385
"Ghana",9.62307692307692,61.2923076923077,880.933194484615,29284,30145.5384615385
"Madagascar",9.44615384615385,63.2153846153846,342.946791323077,26744,7403.07692307692
"Mozambique",8.09285714285714,53.4071428571429,359.652185035714,23618.4285714286,27150.7857142857
"Haiti",9.1,62.9,82.19024235,23421.5,572.5
"Uganda",10.6846153846154,56.5153846153846,426.943161046154,22026.2307692308,41873.8461538462
"Cameroon",9.34,54.86,897.42610004,21218.6,24231.4
"Cambodia",10.35,65.2,663.8938494,20750.75,589.25
"Angola",9.475,50.675,2935.762962375,19604,10800.25
"Burkina Faso",6.25555555555556,57.2333333333333,523.440275766667,16912.6666666667,39736.4444444444
"Mali",6.71666666666667,55.4,593.170793083333,14825.5,28461.0833333333
"Zimbabwe",9.79333333333333,49.3866666666667,430.465951353333,14776.4,4840
"Guinea",8.2375,57.7125,311.2688578625,13876.125,14496.375
"Zambia",11.68,57.25,1009.52997444,13022.4,4958.3
"Malawi",10.1615384615385,50.2615384615385,241.337392384615,12718.8461538462,10586.8461538462
"Senegal",7.48181818181818,63.7818181818182,198.571244136364,12687.3636363636,9245.81818181818
"Niger",4.86666666666667,61.35,319.388893566667,12532.5,33767
"Ecuador",12.4333333333333,73.2666666666667,1276.33537566667,11895,818.333333333333
"Chad",6.8,52.2857142857143,712.233898057143,11603.2857142857,7159.14285714286
"Papua New Guinea",8.44666666666667,61.6,758.097616346667,10436.9333333333,1521.33333333333
"Benin",9.06923076923077,57.7076923076923,572.4469726,8620.15384615385,13054.8461538462
"Burundi",8.27272727272727,56.0272727272727,151.485431036364,8473.36363636364,8263.54545454545
"Rwanda",9.54615384615385,60.4615384615385,345.476728884615,8410.07692307692,3962.30769230769
"Sierra Leone",8.8125,48.425,250.3258313375,7572.125,15348.25
"Togo",11.3142857142857,58.0857142857143,466.936879914286,6508.42857142857,6207.71428571429
"Central African Republic",6.85,51.4166666666667,431.961740466667,6173.33333333333,5333.66666666667
"Eritrea",5,62.9,582.775532,5275,462
"Liberia",9.7,60.8142857142857,328.764245571429,3865,4542.14285714286
"Mauritania",7.6,62.6333333333333,803.651295983333,3264.66666666667,655.333333333333
"Gabon",12.46,63,5639.6252448,2245.2,687.2
"Guinea-Bissau",9.03333333333333,57.3666666666667,425.47065545,1975,532.166666666667
"Solomon Islands",9.2,68,125.79167,1693,437
"Comoros",10.54,62.48,774.05894976,910,483.8
"Equatorial Guinea",9.2,57.9,192.59733,774,889
